Key,File,Type,UsedInMainMenu,NoTranslate,english,Spanish,latam
modernCookingHelper,blocks,Block,,,Modern Cooking Appliances,Ayudante de cocina moderna,Ayudante de cocina moderna
modernCookingHelperBlockDesc,blocks,Block,,,Place these bad boys down and start cooking in modern times!,¡Coloque a estos chicos malos y comience a cocinar en los tiempos modernos!,¡Coloque a estos chicos malos y comience a cocinar en los tiempos modernos!
modernCookingWallOven,blocks,Block,,,Modern Wall Oven,Horno de pared moderno,Horno de pared moderno
modernCookingOldStove,blocks,Block,,,Modern Stove,Estufa moderna,Estufa moderna
modernCookingStoveModern,blocks,Block,,,Modern Stove,Estufa moderna,Estufa moderna
modernCookingWoodStove,blocks,Block,,,Modern Wood Stove,Modern Wood Stone,Modern Wood Stone
modernCookingCoffeeMaker,blocks,Block,,,Modern Coffee Maker,Cafetera moderna,Cafetera moderna
modernCookingCoffeeMakerCommercial,blocks,Block,,,Modern Commercial Coffee Maker,Cafetera comercial moderna,Cafetera comercial moderna
modernCookingCharcoalGrillClosed,blocks,Block,,,"Modern Charcoal Grill (Closed)","Parrilla de carbón moderna (Cerrada)","Parrilla de carbón moderna (Cerrada)"
modernCookingCharcoalGrillOpen,blocks,Block,,,"Modern Charcoal Grill (Open)","Parrilla de carbón moderna (Abierta)","Parrilla de carbón moderna (Abierta)"
modernCookingGasGrillClosed,blocks,Block,,,"Modern Gas Grill (Closed)","Parrilla de gas moderna (Cerrada)","Parrilla de gas moderna (Cerrada)"
modernCookingGasGrillOpen,blocks,Block,,,"Modern Gas Grill (Open)","Parrilla de gas moderna (Abierta)","Parrilla de gas moderna (Abierta)"
modernCookingMicrowave,blocks,Block,,,Modern Microwave,Microondas Moderno,Microondas Moderno
modernCookingToaster,blocks,Block,,,Modern Toaster,Tostadora Moderna,Tostadora Moderna
reinforcedHouseEntryDoor1,blocks,Block,,,Reinforced Home Entry Door 1,Puerta reforzada 1,Puerta reforzada 1
reinforcedHouseEntryDoor2,blocks,Block,,,Reinforced Home Entry Door 2,Puerta reforzada 2,Puerta reforzada 2
